Credit,Date,Debit,Description,Source
"","2025-03-14","544"," UPI-Blinkit","unknown"
"","2025-03-15","60"," UPI-BMRCL","unknown"
"","2025-03-15","44.28"," UPI-UBER INDIA SYSTEMS PRIVAT","unknown"
"","2025-03-15","89"," UPI-ARUN KUMAR H N","unknown"
"","2025-03-15","60"," UPI-BMRCL CUBBON PARK","unknown"
"","2025-03-19","223"," UPI-Blinkit","unknown"
"","2025-03-20","218"," UPI-BISTRO","unknown"
"","2025-03-23","290"," UPI-LASSI CORNER","unknown"
"","2025-03-24","126"," UPI-MALINGAPPA C","unknown"
"","2025-03-24","151"," UPI-HEALTHY HABIT DREAM FOODS","unknown"
"","2025-03-26","656"," UPI-Blinkit","unknown"
"","2025-03-27","240"," UPI-Blinkit","unknown"
"","2025-03-28","179"," UPI-BISTRO","unknown"
"","2025-03-28","126"," UPI-RAMESH","unknown"
"","2025-03-28","231"," UPI-Blinkit","unknown"
"","2025-03-29","760"," UPI-Erivum Puliyum","unknown"
"","2025-04-01","1588"," UPI-Blinkit","unknown"
"12419","2025-04-01",""," AUTOPAY THANK YOU (Ref# ST250920084000012518972)","unknown"
"","2025-04-02","1606.5"," UPI-Redbus India Private Limi","unknown"
"","2025-04-02","1260"," UPI-Redbus India Private Limi","unknown"
"","2025-04-04","854.05"," UPI-ECO EMBRACE DESIGNER CLOT","unknown"
"","2025-04-04","175"," UPI-zeptonow","unknown"
"","2025-04-05","450"," UPI-THE WHITE CANVAS HOSPITAL","unknown"
"","2025-04-05","50"," UPI-SENDHOOR COFFEE","unknown"
"","2025-04-06","400"," UPI-COPPER AND CLOVES","unknown"
"","2025-04-06","192"," UPI-MANJUNATH S","unknown"
"","2025-04-08","217"," UPI-Blinkit","unknown"
"","2025-04-11","814.4"," UPI-BIGTREE ENTERTAINMENT PRI","unknown"
