Credit,Date,Debit,Description,Source
"","2025-06-18","2740","Uniqlo India Private L Gurgaon","credit"
"","2025-06-19","5000","AMAZON GIFT CARD MUMBAI","credit"
"11995","2025-06-20","","AMAZON PAY INDIA PRIVA www.amazon.i","credit"
"","2025-06-20","17099.1","DUROFLEX PVT LTD BANGALORE","credit"
"","2025-06-20","12237","AMAZON PAY INDIA PRIVA www.amazon.i","credit"
"","2025-06-20","11995","AMAZON PAY INDIA PRIVA www.amazon.i","credit"
"","2025-06-21","1179","ETHNIX UNISEX SALOON ANBANGALORE","credit"
"","2025-06-22","7661.43","WWW AMAZON IN GURGAON","credit"
"","2025-06-22","15956","ING*IKEA INDIA PVT LTD www.ikea.in","credit"
"","2025-06-22","3919.02","ZIPPED SOLUTIONS PVT L Delhi","credit"
"","2025-06-23","2504","AMAZON PAY INDIA PRIVA www.amazon.i","credit"
"17099.1","2025-06-24","","AGGREGATOR�EMI�-�OFFUS�CREDIT (Ref# 09999999980624000463248)","credit"
"","2025-06-24","1505.49","AMAZON PAY INDIA PRIVA www.amazon.i","credit"
"","2025-06-25","53.82","IGST-VPS2617787411172-RATE 18.0 -32 (Ref# 09999999980625001267165)","credit"
"","2025-06-25","299","OFFUS EMI,PROCNG FEE,00000000001259 (Ref# 09999999980625001267165)","credit"
"7661.43","2025-06-25","","AGGREGATOR�EMI�-�OFFUS�CREDIT (Ref# 09999999980625000381124)","credit"
"","2025-06-26","53.82","IGST-VPS2617888042102-RATE 18.0 -32 (Ref# 09999999980626001063919)","credit"
"","2025-06-26","299","OFFUS EMI,PROCNG FEE,00000000001260 (Ref# 09999999980626001063919)","credit"
"96","2025-07-02","","AUTOPAY THANK YOU (Ref# ST251840083000010130940)","credit"
"","2025-07-12","2520","OFFUS EMI,PRIN NB:01,00000126018485 (Ref# 09999999980712012768603)","credit"
"","2025-07-12","126","OFFUS EMI,INT NBR:01,00000126018485 (Ref# 09999999980712012768611)","credit"
"","2025-07-12","2632","OFFUS EMI,PRIN NB:01,00000125971309 (Ref# 09999999980712012768587)","credit"
"","2025-07-12","276","OFFUS EMI,INT NBR:01,00000125971309 (Ref# 09999999980712012768595)","credit"
"","2025-06-13","470","UPI-Blinkit","credit"
"","2025-06-14","331","UPI-Blinkit","credit"
"","2025-06-14","1553","UPI-NO 11 FORT COCHIN","credit"
"","2025-06-14","488","UPI-Ame s Japanese Mochi Ic","credit"
"","2025-06-14","260","UPI-COMICVERSE CAFE PRIVATE L","credit"
"","2025-06-15","135","UPI-Vinodan","credit"
"","2025-06-16","171","UPI-GROFERS INDIA PRIVATE LIM","credit"
"","2025-06-16","578","UPI-Healthandglow","credit"
"","2025-06-17","1047.3","UPI-Google India Digital Serv","credit"
"","2025-06-17","530","UPI-GROFERS INDIA PRIVATE LIM","credit"
"","2025-06-18","525","UPI-NER LU CAFE","credit"
"","2025-06-18","50","UPI-Bangalore Metro Rail Corp","credit"
"","2025-06-18","120","UPI-GK Enterprises KUNDALAHAL","credit"
"","2025-06-18","165","UPI-SADIQ PASHA","credit"
"","2025-06-19","2524","UPI-Wakefitco","credit"
"","2025-06-20","387","UPI-Blinkit","credit"
"","2025-06-20","504","UPI-Blinkit","credit"
"","2025-06-20","1248","UPI-MAHAMUD MUSTHAFA K I","credit"
"","2025-06-21","1020","UPI-M/S.DELICIAE","credit"
"","2025-06-22","259","UPI-ROSHNI","credit"
"","2025-06-22","793","UPI-GROFERS INDIA PRIVATE LIM","credit"
"","2025-06-22","334","UPI-Blinkit","credit"
"","2025-06-23","281","UPI-Swiggy Limited","credit"
"","2025-06-23","698","UPI-URBAN COMPANY","credit"
"","2025-06-24","500","UPI-SMARTSHIFT LOGISTICS SOLU","credit"
"","2025-06-25","157","UPI-Urban Company","credit"
"","2025-06-25","391","UPI-BLINKIT","credit"
"","2025-06-25","410","UPI-Blinkit","credit"
"","2025-06-25","207","UPI-Venkatesh C","credit"
"","2025-06-25","688","UPI-GROFERS INDIA PRIVATE LIM","credit"
"","2025-06-25","717","UPI-Swiggy Limited","credit"
"","2025-06-26","253","UPI-BISTRO","credit"
"","2025-06-26","539","UPI-Blinkit","credit"
"","2025-06-26","3195","UPI-Blinkit","credit"
"","2025-06-27","216","UPI-Swiggy Ltd","credit"
"","2025-06-27","258","UPI-Bistro","credit"
"","2025-06-27","494","UPI-Blinkit","credit"
"","2025-06-27","350","UPI-MATAJI HOME APPLIANC","credit"
"","2025-06-27","556","UPI-Blinkit","credit"
"","2025-06-27","75","UPI-SRI GAJANANA MEDICALS","credit"
"","2025-06-27","1151","UPI-GROFERS INDIA PRIVATE LIM","credit"
"","2025-06-27","460","UPI-SHANAVAS P","credit"
"","2025-06-28","488","UPI-Swiggy Limited","credit"
"","2025-06-28","585","UPI-Smoor MAP","credit"
"","2025-06-28","880","UPI-KITCHEN PLANET","credit"
"","2025-06-28","145","UPI-LAKSHMI STORES","credit"
"","2025-06-28","20","UPI-Bangalore Metro Rail Corp","credit"
"","2025-06-29","81","UPI-K Srinivasulu","credit"
"","2025-06-29","300","UPI-fairoz","credit"
"","2025-06-29","244","UPI-Swiggy Limited","credit"
"","2025-06-29","128","UPI-COSMO","credit"
"","2025-06-30","315","UPI-Blinkit","credit"
"","2025-06-30","260","UPI-Swiggy","credit"
"","2025-07-01","352","UPI-Blinkit","credit"
"","2025-07-01","50","UPI-JAGPAL SINGH DAHIYA","credit"
"22103","2025-07-02","","AUTOPAY THANK YOU (Ref# ST251840083000010010071)","credit"
"","2025-07-02","458","UPI-Swiggy Limited","credit"
"","2025-07-03","917","UPI-GROFERS INDIA PRIVATE LIM","credit"
"","2025-07-03","492","UPI-Swiggy Limited","credit"
"","2025-07-04","30","UPI-Bangalore Metro Rail Corp","credit"
"","2025-07-04","60","UPI-Bangalore Metro Rail Corp","credit"
"","2025-07-04","368","UPI-COPPER AND CLOVES","credit"
"","2025-07-04","20","UPI-Bangalore Metro Rail Corp","credit"
"","2025-07-04","600","UPI-BLOSSOM BOOK HOUSE","credit"
"","2025-07-04","506","UPI-Blinkit","credit"
"","2025-07-05","1111","UPI-Blinkit","credit"
"","2025-07-05","489.07","UPI-Techmash Solutions Pvt Lt","credit"
"","2025-07-05","3985","UPI-Lazy Suzy","credit"
"","2025-07-05","348","UPI-LAKSHMI STORES","credit"
"","2025-07-05","150","UPI-M/S.SRI VINAYAKA MEDICALS","credit"
"","2025-07-05","218","UPI-Swiggy Limited","credit"
"","2025-07-06","1229","UPI-SWIGGY LIMITED","credit"
"","2025-07-06","124.5","UPI-Smart Point Bangalore 283","credit"
"","2025-07-06","40","UPI-KUMARI","credit"
"","2025-07-06","56","UPI-GAME THEORY","credit"
"","2025-07-06","180","UPI-Thattu Kada Tea Snacks","credit"
"","2025-07-06","215","UPI-Swiggy Limited","credit"
"","2025-07-08","157","UPI-Urban Company","credit"
"","2025-07-09","291","UPI-SWIGGY LIMITED","credit"
"","2025-07-09","255","UPI-Ramesh D","credit"
"","2025-07-11","506","UPI-Blinkit","credit"
"","2025-07-11","174","UPI-CPIL Bang Mahadevpura","credit"
"","2025-07-11","12","UPI-CHAKALA ASHA","credit"
"","2025-07-11","1","UPI-UBER INDIA SYSTEMS PRIVAT","credit"
"","2025-07-12","100","UPI-SHREE RAMDEV MEDICAL","credit"
"","2025-07-12","316","UPI-Blinkit","credit"
"","2025-07-12","23","UPI-M/S.SRI VINAYAKA MEDICALS","credit"
"","2025-07-12","225","UPI-Blinkit","credit"
